"","datum_zhopname","0-4","5-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80-99"
"1",2020-01-08,0,0,0,0,0,0,0,0,0,1
"2",2020-01-09,0,0,0,0,0,0,0,0,0,0
"3",2020-01-10,0,0,0,0,0,0,0,0,0,0
"4",2020-01-11,0,0,0,0,0,0,0,0,0,0
"5",2020-01-12,0,0,0,0,0,0,0,0,0,0
"6",2020-01-13,0,0,0,0,0,0,0,0,0,0
"7",2020-01-14,0,0,0,0,0,0,0,0,0,0
"8",2020-01-15,0,0,0,0,0,0,0,0,0,0
"9",2020-01-16,0,0,0,0,0,0,0,0,0,0
"10",2020-01-17,0,0,0,0,0,0,0,0,0,0
"11",2020-01-18,0,0,0,0,0,0,0,0,0,0
"12",2020-01-19,0,0,0,0,0,0,0,0,0,0
"13",2020-01-20,0,0,0,0,0,0,0,1,0,0
"14",2020-01-21,0,0,0,0,0,0,0,0,1,0
"15",2020-01-22,0,0,0,0,0,1,0,0,0,0
"16",2020-01-23,0,0,0,0,0,0,0,0,0,0
"17",2020-01-24,0,0,0,0,0,0,0,0,0,0
"18",2020-01-25,0,0,0,0,0,0,0,0,0,0
"19",2020-01-26,0,0,0,0,0,0,0,0,0,0
"20",2020-01-27,0,0,0,0,0,0,0,0,0,0
"21",2020-01-28,0,0,0,0,0,0,0,0,0,0
"22",2020-01-29,0,0,0,0,0,0,0,0,1,0
"23",2020-01-30,0,0,0,0,0,0,0,1,0,0
"24",2020-01-31,0,0,0,0,0,0,0,0,0,0
"25",2020-02-01,0,0,0,0,0,0,0,1,0,0
"26",2020-02-02,0,0,0,0,0,0,0,0,0,0
"27",2020-02-03,0,0,0,0,0,0,0,0,0,1
"28",2020-02-04,0,0,0,0,1,0,0,1,0,1
"29",2020-02-05,0,0,0,0,0,0,0,0,0,0
"30",2020-02-06,0,0,0,0,0,0,0,0,0,0
"31",2020-02-07,0,0,0,0,0,0,0,0,2,0
"32",2020-02-08,0,0,0,0,0,0,0,0,0,0
"33",2020-02-09,0,0,0,0,0,0,0,0,0,0
"34",2020-02-10,0,0,0,0,0,0,0,0,1,0
"35",2020-02-11,0,0,0,0,0,0,0,0,1,0
"36",2020-02-12,0,0,0,0,0,0,0,0,0,0
"37",2020-02-13,0,0,0,0,0,0,1,1,0,1
"38",2020-02-14,0,0,0,0,0,0,0,0,0,0
"39",2020-02-15,0,0,0,0,0,0,0,0,0,0
"40",2020-02-16,0,0,0,1,0,0,0,0,0,2
"41",2020-02-17,0,0,0,0,0,0,0,0,1,1
"42",2020-02-18,0,0,0,0,0,0,0,1,0,0
"43",2020-02-19,2,0,0,0,0,0,0,0,0,1
"44",2020-02-20,0,0,0,0,0,0,1,0,1,0
"45",2020-02-21,0,0,0,0,0,1,1,2,0,2
"46",2020-02-22,1,0,0,0,0,0,0,0,0,0
"47",2020-02-23,0,0,0,0,0,0,2,0,0,0
"48",2020-02-24,0,0,0,0,0,0,0,1,2,3
"49",2020-02-25,0,0,0,0,0,0,0,0,2,0
"50",2020-02-26,0,0,0,1,0,0,1,1,0,0
"51",2020-02-27,0,0,0,0,0,0,0,1,0,1
"52",2020-02-28,0,0,0,1,0,0,1,1,1,3
"53",2020-02-29,0,0,0,0,0,0,0,1,0,0
"54",2020-03-01,1,0,0,0,0,1,0,0,3,5
"55",2020-03-02,0,0,0,1,0,2,0,3,4,5
"56",2020-03-03,0,0,0,0,0,0,0,1,2,5
"57",2020-03-04,0,0,0,0,1,0,4,1,5,5
"58",2020-03-05,0,0,0,0,0,1,1,1,4,6
"59",2020-03-06,0,0,0,0,1,2,3,6,3,8
"60",2020-03-07,0,0,0,0,0,0,1,5,10,4
"61",2020-03-08,0,0,0,0,0,0,4,8,4,9
"62",2020-03-09,0,0,1,0,0,2,4,10,15,16
"63",2020-03-10,0,0,1,0,1,3,4,12,12,5
"64",2020-03-11,2,0,0,1,3,2,4,11,24,11
"65",2020-03-12,2,0,0,1,1,6,7,18,25,23
"66",2020-03-13,0,0,0,3,0,2,13,16,35,25
"67",2020-03-14,1,0,0,3,1,4,12,22,25,23
"68",2020-03-15,0,0,0,4,0,8,21,22,29,22
"69",2020-03-16,0,0,1,4,9,11,19,38,64,46
"70",2020-03-17,0,0,0,3,6,15,28,36,64,49
"71",2020-03-18,2,0,1,1,7,17,45,57,74,60
"72",2020-03-19,2,0,1,5,8,22,39,76,111,90
"73",2020-03-20,0,1,1,6,10,23,45,80,103,81
"74",2020-03-21,0,0,2,1,12,16,45,64,89,74
"75",2020-03-22,2,0,1,4,5,14,48,59,103,69
"76",2020-03-23,0,0,0,6,13,43,97,132,184,97
"77",2020-03-24,1,0,2,3,10,34,68,124,158,97
"78",2020-03-25,3,1,2,5,17,36,78,107,190,84
"79",2020-03-26,0,0,1,3,16,35,85,113,158,88
"80",2020-03-27,2,0,1,1,18,47,111,143,172,122
"81",2020-03-28,0,0,2,7,16,27,51,74,113,60
"82",2020-03-29,1,0,1,3,11,23,60,68,85,53
"83",2020-03-30,1,0,1,7,15,32,88,114,151,88
"84",2020-03-31,2,0,0,6,9,28,57,86,94,61
"85",2020-04-01,2,0,2,5,14,20,61,95,95,59
"86",2020-04-02,2,0,3,3,8,25,66,71,98,62
"87",2020-04-03,0,0,0,6,8,29,58,92,99,46
"88",2020-04-04,2,0,1,4,3,17,43,49,53,34
"89",2020-04-05,0,0,0,5,4,18,43,48,45,51
"90",2020-04-06,1,0,1,7,9,26,77,71,88,45
"91",2020-04-07,1,0,0,6,4,21,31,46,49,42
"92",2020-04-08,0,0,1,1,3,14,48,43,49,34
"93",2020-04-09,1,0,0,5,10,14,31,43,55,31
"94",2020-04-10,0,0,1,6,4,9,41,37,44,32
"95",2020-04-11,1,0,0,1,6,12,24,37,24,23
"96",2020-04-12,1,0,1,1,3,15,26,31,24,29
"97",2020-04-13,0,0,0,2,6,11,27,28,36,28
"98",2020-04-14,0,0,1,2,8,16,31,35,39,23
"99",2020-04-15,1,0,1,2,6,10,9,33,22,21
"100",2020-04-16,1,0,1,2,4,11,23,27,19,14
"101",2020-04-17,2,0,0,4,5,11,23,25,21,30
"102",2020-04-18,0,0,0,0,2,11,13,9,16,26
"103",2020-04-19,0,0,0,1,4,5,8,14,15,11
"104",2020-04-20,0,0,0,1,3,7,21,24,19,16
"105",2020-04-21,0,0,0,1,2,6,14,16,17,14
"106",2020-04-22,1,0,0,0,1,10,17,14,15,10
"107",2020-04-23,0,0,0,1,4,3,17,12,16,28
"108",2020-04-24,1,0,0,0,1,2,1,18,14,8
"109",2020-04-25,0,0,1,1,3,3,5,14,8,11
"110",2020-04-26,0,0,0,0,0,3,8,4,7,8
"111",2020-04-27,0,0,0,0,2,2,9,8,7,5
"112",2020-04-28,0,0,0,1,3,5,11,7,17,10
"113",2020-04-29,0,0,0,1,2,1,7,8,12,4
"114",2020-04-30,1,0,0,0,1,3,6,10,4,7
"115",2020-05-01,0,0,1,0,1,1,2,4,4,4
"116",2020-05-02,0,0,0,0,0,0,3,3,1,1
"117",2020-05-03,0,0,0,0,0,0,1,0,0,0
